Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c5315.aag,glucose4,1718,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1719,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1720,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1721,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1003,0.000001,SAT,SIMULATION
c5315.aag,glucose4,214,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1722,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1723,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1724,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1486,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1725,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1183,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1183,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1726,0.000001,SAT,SIMULATION
c5315.aag,glucose4,175,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1129,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1727,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1485,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1728,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1337,0.000001,SAT,SIMULATION
c5315.aag,glucose4,147,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1182,0.000001,UNSAT (REDUNDANT),PYSAT
c5315.aag,glucose4,1203,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1729,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1032,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1730,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1183,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1484,0.000003,UNSAT (REDUNDANT),PYSAT
c5315.aag,glucose4,1731,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1732,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1733,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1734,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1063,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1735,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1515,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1156,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1505,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1736,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1526,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1737,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1738,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1145,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1080,0.000001,SAT,SIMULATION
c1908.aag,glucose4,434,0.000001,SAT,SIMULATION
c1908.aag,glucose4,399,0.000001,SAT,SIMULATION
c1908.aag,glucose4,444,0.000001,SAT,SIMULATION
c1908.aag,glucose4,341,0.000001,SAT,SIMULATION
c1908.aag,glucose4,445,0.000001,SAT,SIMULATION
c1908.aag,glucose4,428,0.000001,SAT,SIMULATION
c1908.aag,glucose4,408,0.000001,SAT,SIMULATION
c1908.aag,glucose4,387,0.000001,SAT,SIMULATION
c1908.aag,glucose4,259,0.000001,SAT,SIMULATION
c1908.aag,glucose4,269,0.000001,SAT,SIMULATION
c1908.aag,glucose4,431,0.000001,SAT,SIMULATION
c1908.aag,glucose4,443,0.000001,SAT,SIMULATION
c1908.aag,glucose4,437,0.000001,SAT,SIMULATION
c1908.aag,glucose4,376,0.000001,SAT,SIMULATION
c1908.aag,glucose4,411,0.000001,SAT,SIMULATION
c1908.aag,glucose4,344,0.000001,SAT,SIMULATION
c1908.aag,glucose4,446,0.000001,SAT,SIMULATION
c1908.aag,glucose4,402,0.000001,SAT,SIMULATION
c1908.aag,glucose4,329,0.000001,SAT,SIMULATION
