Circuit,Solver,Wire_ID,Time_Sec,Status,Label,MUS_Size
c499.aag,glucose4,573,0.000014,SAT,1,0
c499.aag,glucose4,574,0.000014,SAT,1,0
c499.aag,glucose4,575,0.000014,SAT,1,0
c499.aag,glucose4,576,0.000014,SAT,1,0
c499.aag,glucose4,577,0.000015,SAT,1,0
c499.aag,glucose4,578,0.000015,SAT,1,0
c499.aag,glucose4,579,0.000014,SAT,1,0
c499.aag,glucose4,580,0.000014,SAT,1,0
c499.aag,glucose4,581,0.000014,SAT,1,0
c499.aag,maplechrono,550,0.000048,SAT,1,0
c499.aag,maplechrono,551,0.000021,SAT,1,0
c499.aag,maplechrono,552,0.000023,SAT,1,0
c499.aag,maplechrono,553,0.000016,SAT,1,0
c499.aag,maplechrono,554,0.000014,SAT,1,0
c499.aag,maplechrono,555,0.000014,SAT,1,0
c499.aag,maplechrono,556,0.000015,SAT,1,0
c499.aag,maplechrono,557,0.000022,SAT,1,0
c499.aag,maplechrono,558,0.000022,SAT,1,0
c499.aag,maplechrono,559,0.000016,SAT,1,0
c499.aag,maplechrono,560,0.000015,SAT,1,0
c499.aag,maplechrono,561,0.000015,SAT,1,0
c499.aag,maplechrono,562,0.000014,SAT,1,0
c499.aag,maplechrono,563,0.000014,SAT,1,0
c499.aag,maplechrono,564,0.000015,SAT,1,0
c499.aag,maplechrono,565,0.000039,SAT,1,0
c499.aag,maplechrono,566,0.000020,SAT,1,0
c499.aag,maplechrono,567,0.000015,SAT,1,0
c499.aag,maplechrono,568,0.000014,SAT,1,0
c499.aag,maplechrono,569,0.000014,SAT,1,0
c499.aag,maplechrono,570,0.000015,SAT,1,0
c499.aag,maplechrono,571,0.000014,SAT,1,0
c499.aag,maplechrono,572,0.000014,SAT,1,0
c499.aag,maplechrono,573,0.000014,SAT,1,0
c499.aag,maplechrono,574,0.000014,SAT,1,0
c499.aag,maplechrono,575,0.000020,SAT,1,0
c499.aag,maplechrono,576,0.000015,SAT,1,0
c499.aag,maplechrono,577,0.000015,SAT,1,0
c499.aag,maplechrono,578,0.000043,SAT,1,0
c499.aag,maplechrono,579,0.000021,SAT,1,0
c499.aag,maplechrono,580,0.000015,SAT,1,0
c499.aag,maplechrono,581,0.000014,SAT,1,0
c499.aag,cadical153,550,0.000049,SAT,1,0
c499.aag,cadical153,551,0.000020,SAT,1,0
c499.aag,cadical153,552,0.000017,SAT,1,0
c499.aag,cadical153,553,0.000024,SAT,1,0
c499.aag,cadical153,554,0.000016,SAT,1,0
c499.aag,cadical153,555,0.000014,SAT,1,0
c499.aag,cadical153,556,0.000010,SAT,1,0
c499.aag,cadical153,557,0.000010,SAT,1,0
c499.aag,cadical153,558,0.000010,SAT,1,0
c499.aag,cadical153,559,0.000013,SAT,1,0
c499.aag,cadical153,560,0.000018,SAT,1,0
c499.aag,cadical153,561,0.000019,SAT,1,0
c499.aag,cadical153,562,0.000013,SAT,1,0
c499.aag,cadical153,563,0.000010,SAT,1,0
c499.aag,cadical153,564,0.000015,SAT,1,0
c499.aag,cadical153,565,0.000010,SAT,1,0
c499.aag,cadical153,566,0.000010,SAT,1,0
c499.aag,cadical153,567,0.000010,SAT,1,0
c499.aag,cadical153,568,0.000010,SAT,1,0
c499.aag,cadical153,569,0.000010,SAT,1,0
c499.aag,cadical153,570,0.000010,SAT,1,0
c499.aag,cadical153,571,0.000010,SAT,1,0
c499.aag,cadical153,572,0.000010,SAT,1,0
c499.aag,cadical153,573,0.000010,SAT,1,0
c499.aag,cadical153,574,0.000014,SAT,1,0
c499.aag,cadical153,575,0.000011,SAT,1,0
c499.aag,cadical153,576,0.000010,SAT,1,0
c499.aag,cadical153,577,0.000010,SAT,1,0
c499.aag,cadical153,578,0.000010,SAT,1,0
c499.aag,cadical153,579,0.000033,SAT,1,0
c499.aag,cadical153,580,0.000014,SAT,1,0
c499.aag,cadical153,581,0.000010,SAT,1,0
c499.aag,lingeling,550,0.000164,SAT,1,0
c499.aag,lingeling,551,0.000141,SAT,1,0
c499.aag,lingeling,552,0.000103,SAT,1,0
c499.aag,lingeling,553,0.000128,SAT,1,0
c499.aag,lingeling,554,0.000163,SAT,1,0
c499.aag,lingeling,555,0.000192,SAT,1,0
c499.aag,lingeling,556,0.000159,SAT,1,0
c499.aag,lingeling,557,0.000170,SAT,1,0
c499.aag,lingeling,558,0.000180,SAT,1,0
c499.aag,lingeling,559,0.000210,SAT,1,0
c499.aag,lingeling,560,0.000136,SAT,1,0
c499.aag,lingeling,561,0.000145,SAT,1,0
c499.aag,lingeling,562,0.000137,SAT,1,0
c499.aag,lingeling,563,0.000141,SAT,1,0
c499.aag,lingeling,564,0.000123,SAT,1,0
c499.aag,lingeling,565,0.000150,SAT,1,0
c499.aag,lingeling,566,0.000164,SAT,1,0
c499.aag,lingeling,567,0.000132,SAT,1,0
c499.aag,lingeling,568,0.000122,SAT,1,0
c499.aag,lingeling,569,0.000135,SAT,1,0
c499.aag,lingeling,570,0.000137,SAT,1,0
c499.aag,lingeling,571,0.000152,SAT,1,0
c499.aag,lingeling,572,0.000111,SAT,1,0
c499.aag,lingeling,573,0.000124,SAT,1,0
c499.aag,lingeling,574,0.000103,SAT,1,0
c499.aag,lingeling,575,0.000109,SAT,1,0
c499.aag,lingeling,576,0.000115,SAT,1,0
c499.aag,lingeling,577,0.000129,SAT,1,0
c499.aag,lingeling,578,0.000129,SAT,1,0
c499.aag,lingeling,579,0.000099,SAT,1,0
c499.aag,lingeling,580,0.000101,SAT,1,0
c499.aag,lingeling,581,0.000097,SAT,1,0
c499.aag,mergesat3,550,0.000063,SAT,1,0
c499.aag,mergesat3,551,0.000040,SAT,1,0
c499.aag,mergesat3,552,0.000036,SAT,1,0
c499.aag,mergesat3,553,0.000034,SAT,1,0
c499.aag,mergesat3,554,0.000031,SAT,1,0
c499.aag,mergesat3,555,0.000025,SAT,1,0
c499.aag,mergesat3,556,0.000027,SAT,1,0
c499.aag,mergesat3,557,0.000029,SAT,1,0
c499.aag,mergesat3,558,0.000023,SAT,1,0
c499.aag,mergesat3,559,0.000017,SAT,1,0
c499.aag,mergesat3,560,0.000017,SAT,1,0
c499.aag,mergesat3,561,0.000018,SAT,1,0
c499.aag,mergesat3,562,0.000017,SAT,1,0
c499.aag,mergesat3,563,0.000017,SAT,1,0
c499.aag,mergesat3,564,0.000017,SAT,1,0
c499.aag,mergesat3,565,0.000018,SAT,1,0
c499.aag,mergesat3,566,0.000017,SAT,1,0
c499.aag,mergesat3,567,0.000018,SAT,1,0
c499.aag,mergesat3,568,0.000017,SAT,1,0
c499.aag,mergesat3,569,0.000017,SAT,1,0
c499.aag,mergesat3,570,0.000017,SAT,1,0
c499.aag,mergesat3,571,0.000017,SAT,1,0
c499.aag,mergesat3,572,0.000016,SAT,1,0
c499.aag,mergesat3,573,0.000017,SAT,1,0
c499.aag,mergesat3,574,0.000016,SAT,1,0
c499.aag,mergesat3,575,0.000017,SAT,1,0
c499.aag,mergesat3,576,0.000017,SAT,1,0
c499.aag,mergesat3,577,0.000019,SAT,1,0
c499.aag,mergesat3,578,0.000019,SAT,1,0
c499.aag,mergesat3,579,0.000019,SAT,1,0
c499.aag,mergesat3,580,0.000017,SAT,1,0
c499.aag,mergesat3,581,0.000018,SAT,1,0
c5315.aag,minisat22,1685,0.000009,UNSAT,0,0
c5315.aag,minisat22,1686,0.000002,UNSAT,0,0
c5315.aag,minisat22,1330,0.000001,UNSAT,0,0
c5315.aag,minisat22,1687,0.000001,UNSAT,0,0
c5315.aag,minisat22,1553,0.000001,UNSAT,0,0
c5315.aag,minisat22,1688,0.000001,UNSAT,0,0
c5315.aag,minisat22,1445,0.000001,UNSAT,0,0
c5315.aag,minisat22,1533,0.000001,UNSAT,0,0
c5315.aag,minisat22,1453,0.000001,UNSAT,0,0
c5315.aag,minisat22,1689,0.000001,UNSAT,0,0
c5315.aag,minisat22,1690,0.000001,UNSAT,0,0
c5315.aag,minisat22,1691,0.000001,UNSAT,0,0
c5315.aag,minisat22,1692,0.000001,UNSAT,0,0
c5315.aag,minisat22,859,0.000001,UNSAT,0,0
c5315.aag,minisat22,1074,0.000001,UNSAT,0,0
c5315.aag,minisat22,1204,0.000002,UNSAT,0,0
c5315.aag,minisat22,1684,0.000001,UNSAT,0,0
c5315.aag,minisat22,1649,0.000001,UNSAT,0,0
c5315.aag,minisat22,1399,0.000002,UNSAT,0,0
c5315.aag,minisat22,1693,0.000001,UNSAT,0,0
c5315.aag,minisat22,1694,0.000001,UNSAT,0,0
c5315.aag,minisat22,1390,0.000001,UNSAT,0,0
c5315.aag,minisat22,1695,0.000001,UNSAT,0,0
c5315.aag,minisat22,1696,0.000001,UNSAT,0,0
c5315.aag,minisat22,1697,0.000001,UNSAT,0,0
c5315.aag,minisat22,1698,0.000001,UNSAT,0,0
c5315.aag,minisat22,1699,0.000001,UNSAT,0,0
c5315.aag,minisat22,1700,0.000001,UNSAT,0,0
c5315.aag,minisat22,252,0.000002,UNSAT,0,0
c5315.aag,minisat22,1302,0.000001,UNSAT,0,0
c5315.aag,minisat22,1701,0.000001,UNSAT,0,0
c5315.aag,minisat22,1364,0.000001,UNSAT,0,0
c5315.aag,minisat22,1204,0.000001,UNSAT,0,0
c5315.aag,minisat22,1134,0.000001,UNSAT,0,0
c5315.aag,minisat22,323,0.000001,UNSAT,0,0
c5315.aag,minisat22,1702,0.000001,UNSAT,0,0
c5315.aag,minisat22,1703,0.000001,UNSAT,0,0
c5315.aag,minisat22,1704,0.000001,UNSAT,0,0
c5315.aag,minisat22,1340,0.000001,UNSAT,0,0
c5315.aag,minisat22,1227,0.000001,UNSAT,0,0
c5315.aag,minisat22,1544,0.000001,UNSAT,0,0
c5315.aag,minisat22,175,0.000001,UNSAT,0,0
c5315.aag,minisat22,318,0.000001,UNSAT,0,0
c5315.aag,minisat22,175,0.000001,UNSAT,0,0
c5315.aag,minisat22,1705,0.000001,UNSAT,0,0
c5315.aag,minisat22,1300,0.000001,UNSAT,0,0
c5315.aag,minisat22,1096,0.000001,UNSAT,0,0
c5315.aag,minisat22,1138,0.000001,UNSAT,0,0
c5315.aag,minisat22,956,0.000001,UNSAT,0,0
c5315.aag,minisat22,1706,0.000001,UNSAT,0,0
c5315.aag,minisat22,1707,0.000001,UNSAT,0,0
c5315.aag,minisat22,1708,0.000001,UNSAT,0,0
c5315.aag,minisat22,1709,0.000001,UNSAT,0,0
c5315.aag,minisat22,981,0.000001,UNSAT,0,0
c5315.aag,minisat22,1322,0.000001,UNSAT,0,0
c5315.aag,minisat22,1710,0.000001,UNSAT,0,0
c5315.aag,minisat22,1711,0.000001,UNSAT,0,0
c5315.aag,minisat22,97,0.000001,UNSAT,0,0
c5315.aag,minisat22,1712,0.000001,UNSAT,0,0
c5315.aag,minisat22,874,0.000001,UNSAT,0,0
c5315.aag,minisat22,324,0.000001,UNSAT,0,0
c5315.aag,minisat22,1713,0.000001,UNSAT,0,0
c5315.aag,minisat22,1714,0.000001,UNSAT,0,0
c5315.aag,minisat22,1715,0.000001,UNSAT,0,0
c5315.aag,minisat22,1403,0.000001,UNSAT,0,0
c5315.aag,minisat22,1716,0.000001,UNSAT,0,0
c5315.aag,minisat22,1250,0.000001,UNSAT,0,0
c5315.aag,minisat22,1717,0.000001,UNSAT,0,0
c5315.aag,minisat22,1525,0.000001,UNSAT,0,0
c5315.aag,minisat22,1002,0.000001,UNSAT,0,0
c5315.aag,minisat22,1718,0.000001,UNSAT,0,0
c5315.aag,minisat22,1719,0.000001,UNSAT,0,0
c5315.aag,minisat22,1720,0.000001,UNSAT,0,0
c5315.aag,minisat22,1649,0.000001,UNSAT,0,0
c5315.aag,minisat22,1048,0.000001,UNSAT,0,0
c5315.aag,minisat22,1138,0.000001,UNSAT,0,0
c5315.aag,minisat22,1518,0.000001,UNSAT,0,0
c5315.aag,minisat22,54,0.000001,UNSAT,0,0
c5315.aag,minisat22,1016,0.000001,UNSAT,0,0
c5315.aag,minisat22,1721,0.000001,UNSAT,0,0
c5315.aag,minisat22,1722,0.000001,UNSAT,0,0
c5315.aag,minisat22,1723,0.000001,UNSAT,0,0
c5315.aag,minisat22,932,0.000001,UNSAT,0,0
c5315.aag,minisat22,1638,0.000001,UNSAT,0,0
c5315.aag,minisat22,1724,0.000001,UNSAT,0,0
c5315.aag,minisat22,1472,0.000001,UNSAT,0,0
c5315.aag,minisat22,1446,0.000001,UNSAT,0,0
c5315.aag,minisat22,1621,0.000001,UNSAT,0,0
c5315.aag,minisat22,1507,0.000001,UNSAT,0,0
c5315.aag,minisat22,1049,0.000001,UNSAT,0,0
c5315.aag,minisat22,1007,0.000001,UNSAT,0,0
c5315.aag,minisat22,1725,0.000001,UNSAT,0,0
c5315.aag,minisat22,1726,0.000001,UNSAT,0,0
c5315.aag,minisat22,1270,0.000001,UNSAT,0,0
c5315.aag,minisat22,852,0.000001,UNSAT,0,0
c5315.aag,minisat22,1727,0.000001,UNSAT,0,0
c5315.aag,minisat22,1728,0.000001,UNSAT,0,0
c5315.aag,minisat22,1729,0.000004,UNSAT,0,0
c5315.aag,minisat22,1730,0.000002,UNSAT,0,0
c5315.aag,minisat22,1673,0.000001,UNSAT,0,0
c5315.aag,minisat22,1497,0.000001,UNSAT,0,0
c5315.aag,minisat22,1731,0.000001,UNSAT,0,0
c5315.aag,minisat22,1138,0.000001,UNSAT,0,0
c5315.aag,minisat22,1412,0.000001,UNSAT,0,0
c5315.aag,minisat22,1732,0.000001,UNSAT,0,0
c5315.aag,minisat22,1733,0.000001,UNSAT,0,0
c5315.aag,minisat22,1734,0.000001,UNSAT,0,0
c5315.aag,minisat22,177,0.000001,UNSAT,0,0
c5315.aag,minisat22,951,0.000001,UNSAT,0,0
c5315.aag,minisat22,1735,0.000001,UNSAT,0,0
c5315.aag,minisat22,1682,0.000001,UNSAT,0,0
c5315.aag,minisat22,1648,0.000001,UNSAT,0,0
c5315.aag,minisat22,1280,0.000001,UNSAT,0,0
c5315.aag,minisat22,1289,0.000001,UNSAT,0,0
c5315.aag,minisat22,1736,0.000001,UNSAT,0,0
c5315.aag,minisat22,1147,0.000001,UNSAT,0,0
c5315.aag,minisat22,1737,0.000001,UNSAT,0,0
c5315.aag,minisat22,1238,0.000001,UNSAT,0,0
c5315.aag,minisat22,1138,0.000001,UNSAT,0,0
c5315.aag,minisat22,1138,0.000001,UNSAT,0,0
c5315.aag,minisat22,1738,0.000001,UNSAT,0,0
c5315.aag,minisat22,1134,0.000001,UNSAT,0,0
c5315.aag,minisat22,1136,0.000001,UNSAT,0,0
c5315.aag,glucose3,1685,0.000005,UNSAT,0,0
c5315.aag,glucose3,1686,0.000001,UNSAT,0,0
c5315.aag,glucose3,1330,0.000001,UNSAT,0,0
c5315.aag,glucose3,1687,0.000001,UNSAT,0,0
c5315.aag,glucose3,1553,0.000001,UNSAT,0,0
c5315.aag,glucose3,1688,0.000001,UNSAT,0,0
c5315.aag,glucose3,1445,0.000001,UNSAT,0,0
c5315.aag,glucose3,1533,0.000001,UNSAT,0,0
c5315.aag,glucose3,1453,0.000001,UNSAT,0,0
c5315.aag,glucose3,1689,0.000001,UNSAT,0,0
c5315.aag,glucose3,1690,0.000001,UNSAT,0,0
c5315.aag,glucose3,1691,0.000001,UNSAT,0,0
c5315.aag,glucose3,1692,0.000001,UNSAT,0,0
c5315.aag,glucose3,859,0.000001,UNSAT,0,0
c5315.aag,glucose3,1074,0.000001,UNSAT,0,0
c5315.aag,glucose3,1204,0.000001,UNSAT,0,0
c5315.aag,glucose3,1684,0.000001,UNSAT,0,0
c5315.aag,glucose3,1649,0.000002,UNSAT,0,0
c5315.aag,glucose3,1399,0.000001,UNSAT,0,0
c5315.aag,glucose3,1693,0.000001,UNSAT,0,0
c5315.aag,glucose3,1694,0.000001,UNSAT,0,0
c5315.aag,glucose3,1390,0.000001,UNSAT,0,0
c5315.aag,glucose3,1695,0.000001,UNSAT,0,0
c5315.aag,glucose3,1696,0.000001,UNSAT,0,0
c5315.aag,glucose3,1697,0.000001,UNSAT,0,0
c5315.aag,glucose3,1698,0.000001,UNSAT,0,0
c5315.aag,glucose3,1699,0.000001,UNSAT,0,0
c5315.aag,glucose3,1700,0.000001,UNSAT,0,0
c5315.aag,glucose3,252,0.000002,UNSAT,0,0
c5315.aag,glucose3,1302,0.000001,UNSAT,0,0
c5315.aag,glucose3,1701,0.000001,UNSAT,0,0
c5315.aag,glucose3,1364,0.000001,UNSAT,0,0
c5315.aag,glucose3,1204,0.000001,UNSAT,0,0
c5315.aag,glucose3,1134,0.000001,UNSAT,0,0
c5315.aag,glucose3,323,0.000001,UNSAT,0,0
c5315.aag,glucose3,1702,0.000001,UNSAT,0,0
c5315.aag,glucose3,1703,0.000001,UNSAT,0,0
c5315.aag,glucose3,1704,0.000001,UNSAT,0,0
c5315.aag,glucose3,1340,0.000001,UNSAT,0,0
c5315.aag,glucose3,1227,0.000001,UNSAT,0,0
c5315.aag,glucose3,1544,0.000001,UNSAT,0,0
c5315.aag,glucose3,175,0.000001,UNSAT,0,0
c5315.aag,glucose3,318,0.000001,UNSAT,0,0
c5315.aag,glucose3,175,0.000002,UNSAT,0,0
c5315.aag,glucose3,1705,0.000001,UNSAT,0,0
c5315.aag,glucose3,1300,0.000001,UNSAT,0,0
c5315.aag,glucose3,1096,0.000001,UNSAT,0,0
c5315.aag,glucose3,1138,0.000001,UNSAT,0,0
c5315.aag,glucose3,956,0.000001,UNSAT,0,0
c5315.aag,glucose3,1706,0.000001,UNSAT,0,0
c5315.aag,glucose3,1707,0.000001,UNSAT,0,0
c5315.aag,glucose3,1708,0.000001,UNSAT,0,0
c5315.aag,glucose3,1709,0.000002,UNSAT,0,0
c5315.aag,glucose3,981,0.000001,UNSAT,0,0
c5315.aag,glucose3,1322,0.000001,UNSAT,0,0
c5315.aag,glucose3,1710,0.000001,UNSAT,0,0
c5315.aag,glucose3,1711,0.000001,UNSAT,0,0
c5315.aag,glucose3,97,0.000001,UNSAT,0,0
c5315.aag,glucose3,1712,0.000001,UNSAT,0,0
c5315.aag,glucose3,874,0.000001,UNSAT,0,0
c5315.aag,glucose3,324,0.000001,UNSAT,0,0
c5315.aag,glucose3,1713,0.000001,UNSAT,0,0
c5315.aag,glucose3,1714,0.000001,UNSAT,0,0
c5315.aag,glucose3,1715,0.000001,UNSAT,0,0
c5315.aag,glucose3,1403,0.000001,UNSAT,0,0
